,probe_g,
217854_s_at,POLR2E,"RNA polymerase II, I and III subunit E"
217855_x_at,SDF4,stromal cell derived factor 4
217856_at,RBM8A,RNA binding motif protein 8A
217857_s_at,RBM8A,RNA binding motif protein 8A
217858_s_at,ARMCX3,armadillo repeat containing X-linked 3
217859_s_at,SLC39A9,solute carrier family 39 member 9
217860_at,NDUFA10,NADH:ubiquinone oxidoreductase subunit A10
217861_s_at,PREB,prolactin regulatory element binding
217862_at,PIAS1,protein inhibitor of activated STAT 1
217863_at,PIAS1,protein inhibitor of activated STAT 1
217864_s_at,PIAS1,protein inhibitor of activated STAT 1
217865_at,RNF130,ring finger protein 130
217866_at,CPSF7,cleavage and polyadenylation specific factor 7
217867_x_at,BACE2,beta-secretase 2
217868_s_at,METTL9,methyltransferase like 9
217869_at,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12
217870_s_at,CMPK1,cytidine/uridine monophosphate kinase 1
217871_s_at,MIF,macrophage migration inhibitory factor
217872_at,PIH1D1,PIH1 domain containing 1
217873_at,CAB39,calcium binding protein 39
217874_at,SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha
217875_s_at,PMEPA1,"prostate transmembrane protein, androgen induced 1"
217876_at,GTF3C5,general transcription factor IIIC subunit 5
217877_s_at,GPBP1L1,GC-rich promoter binding protein 1 like 1
217878_s_at,CDC27,cell division cycle 27
217879_at,CDC27,cell division cycle 27
217880_at,CDC27,cell division cycle 27
217881_s_at,CDC27,cell division cycle 27
217882_at,EMC3,ER membrane protein complex subunit 3
217883_at,MMADHC,metabolism of cobalamin associated D
217884_at,NAT10,N-acetyltransferase 10
217885_at,IPO9,importin 9
217886_at,EPS15,epidermal growth factor receptor pathway substrate 15
217887_s_at,EPS15,epidermal growth factor receptor pathway substrate 15
217888_s_at,ARFGAP1,ADP ribosylation factor GTPase activating protein 1
217889_s_at,CYBRD1,cytochrome b reductase 1
217890_s_at,PARVA,parvin alpha
217891_at,RUSF1,RUS family member 1
217892_s_at,LIMA1,LIM domain and actin binding 1
217893_s_at,AKIRIN1,akirin 1
217894_at,KCTD3,potassium channel tetramerization domain containing 3
217895_at,PTCD3,pentatricopeptide repeat domain 3
217896_s_at,PSME3IP1,proteasome activator subunit 3 interacting protein 1
217897_at,FXYD6,FXYD domain containing ion transport regulator 6
217898_at,EMC7,ER membrane protein complex subunit 7
217899_at,TMEM214,transmembrane protein 214
217900_at,IARS2,"isoleucyl-tRNA synthetase 2, mitochondrial"
217901_at,DSG2,desmoglein 2
217902_s_at,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
217903_at,STRN4,striatin 4
217904_s_at,BACE1,beta-secretase 1
217905_at,MCMBP,minichromosome maintenance complex binding protein
217906_at,KLHDC2,kelch domain containing 2
217907_at,MRPL18,mitochondrial ribosomal protein L18
217908_s_at,DCAF6,DDB1 and CUL4 associated factor 6
217909_s_at,MLX,MAX dimerization protein MLX
217910_x_at,MLX,MAX dimerization protein MLX
217911_s_at,BAG3,BAG cochaperone 3
217912_at,DUS1L,dihydrouridine synthase 1 like
217913_at,VPS4A,vacuolar protein sorting 4 homolog A
217914_at,TPCN1,two pore segment channel 1
217915_s_at,RSL24D1,ribosomal L24 domain containing 1
217916_s_at,CYRIB,CYFIP related Rac1 interactor B
217917_s_at,DYNLRB1,dynein light chain roadblock-type 1
217918_at,DYNLRB1,dynein light chain roadblock-type 1
217919_s_at,MRPL42,mitochondrial ribosomal protein L42
217920_at,MAN1A2,mannosidase alpha class 1A member 2
217921_at,MAN1A2,mannosidase alpha class 1A member 2
217922_at,MAN1A2,mannosidase alpha class 1A member 2
217923_at,PEF1,penta-EF-hand domain containing 1
217924_at,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains
217925_s_at,ILRUN,inflammation and lipid regulator with UBA-like and NBR1-like domains
217926_at,C19orf53,chromosome 19 open reading frame 53
217927_at,SPCS1,signal peptidase complex subunit 1
217928_s_at,PPP6R3,protein phosphatase 6 regulatory subunit 3
217929_s_at,KIAA0319L,KIAA0319 like
217930_s_at,TOLLIP,toll interacting protein
217931_at,CNPY3,canopy FGF signaling regulator 3
217932_at,MRPS7,mitochondrial ribosomal protein S7
217933_s_at,LAP3,leucine aminopeptidase 3
217934_x_at,STUB1,STIP1 homology and U-box containing protein 1
217935_s_at,UQCC1,ubiquinol-cytochrome c reductase complex assembly factor 1
217936_at,ARHGAP5,Rho GTPase activating protein 5
217937_s_at,HDAC7,histone deacetylase 7
217938_s_at,KCMF1,potassium channel modulatory factor 1
217939_s_at,AFTPH,aftiphilin
217940_s_at,NAXD,NAD(P)HX dehydratase
217941_s_at,ERBIN,erbb2 interacting protein
217942_at,MRPS35,mitochondrial ribosomal protein S35
217943_s_at,MAP7D1,MAP7 domain containing 1
217944_at,POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
217945_at,BTBD1,BTB domain containing 1
217946_s_at,SAE1,SUMO1 activating enzyme subunit 1
217947_at,CMTM6,CKLF like MARVEL transmembrane domain containing 6
217948_at,RTL8A,retrotransposon Gag like 8A
217949_s_at,VKORC1,vitamin K epoxide reductase complex subunit 1
217950_at,NOSIP,nitric oxide synthase interacting protein
217951_s_at,PHF3,PHD finger protein 3
217952_x_at,PHF3,PHD finger protein 3
217953_at,PHF3,PHD finger protein 3
217954_s_at,PHF3,PHD finger protein 3
217955_at,BCL2L13,BCL2 like 13
217956_s_at,ENOPH1,enolase-phosphatase 1
217957_at,CFAP20,cilia and flagella associated protein 20
217958_at,TRAPPC4,trafficking protein particle complex subunit 4
217959_s_at,TRAPPC4,trafficking protein particle complex subunit 4
217960_s_at,TOMM22,translocase of outer mitochondrial membrane 22
217961_at,SLC25A38,solute carrier family 25 member 38
217962_at,NOP10,NOP10 ribonucleoprotein
217963_s_at,BEX3,brain expressed X-linked 3
217964_at,TTC19,tetratricopeptide repeat domain 19
217965_s_at,SAP30BP,SAP30 binding protein
217966_s_at,NIBAN1,niban apoptosis regulator 1
217967_s_at,NIBAN1,niban apoptosis regulator 1
217968_at,EIPR1,EARP complex and GARP complex interacting protein 1
217969_at,VPS51,VPS51 subunit of GARP complex
217970_s_at,CNOT6,CCR4-NOT transcription complex subunit 6
217971_at,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"
217972_at,CHCHD3,coiled-coil-helix-coiled-coil-helix domain containing 3
217973_at,DCXR,dicarbonyl and L-xylulose reductase
217974_at,TM7SF3,transmembrane 7 superfamily member 3
217975_at,TCEAL9,transcription elongation factor A like 9
217976_s_at,DYNC1LI1,dynein cytoplasmic 1 light intermediate chain 1
217977_at,MSRB1,methionine sulfoxide reductase B1
217978_s_at,UBE2Q1,ubiquitin conjugating enzyme E2 Q1
217979_at,TSPAN13,tetraspanin 13
217980_s_at,MRPL16,mitochondrial ribosomal protein L16
217981_s_at,TIMM10B,translocase of inner mitochondrial membrane 10B
217982_s_at,MORF4L1,mortality factor 4 like 1
217983_s_at,RNASET2,ribonuclease T2
217984_at,RNASET2,ribonuclease T2
217985_s_at,BAZ1A,bromodomain adjacent to zinc finger domain 1A
217986_s_at,BAZ1A,bromodomain adjacent to zinc finger domain 1A
217987_at,ASNSD1,asparagine synthetase domain containing 1
217988_at,CCNB1IP1,cyclin B1 interacting protein 1
217989_at,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11
217990_at,GMPR2,guanosine monophosphate reductase 2
217991_x_at,SSBP3,single stranded DNA binding protein 3
217992_s_at,EFHD2,EF-hand domain family member D2
217993_s_at,MAT2B,methionine adenosyltransferase 2B
217994_x_at,INTS11,integrator complex subunit 11
217995_at,SQOR,sulfide quinone oxidoreductase
217996_at,PHLDA1,pleckstrin homology like domain family A member 1
217997_at,PHLDA1,pleckstrin homology like domain family A member 1
217998_at,PHLDA1,pleckstrin homology like domain family A member 1
217999_s_at,PHLDA1,pleckstrin homology like domain family A member 1
218000_s_at,PHLDA1,pleckstrin homology like domain family A member 1
218001_at,MRPS2,mitochondrial ribosomal protein S2
218002_s_at,CXCL14,C-X-C motif chemokine ligand 14
218003_s_at,FKBP3,FKBP prolyl isomerase 3
218004_at,BSDC1,BSD domain containing 1
218005_at,ZNF22,zinc finger protein 22
218006_s_at,ZNF22,zinc finger protein 22
218007_s_at,RPS27L,ribosomal protein S27 like
218008_at,TMEM248,transmembrane protein 248
218009_s_at,PRC1,protein regulator of cytokinesis 1
218010_x_at,PPDPF,pancreatic progenitor cell differentiation and proliferation factor
218011_at,UBL5,ubiquitin like 5
218012_at,TSPYL2,TSPY like 2
218013_x_at,DCTN4,dynactin subunit 4
218014_at,NUP85,nucleoporin 85
218015_s_at,WRNIP1,WRN helicase interacting protein 1
218016_s_at,POLR3E,RNA polymerase III subunit E
218017_s_at,HGSNAT,heparan-alpha-glucosaminide N-acetyltransferase
218018_at,PDXK,pyridoxal kinase
218018_at,LOC105372824,uncharacterized LOC105372824
218019_s_at,PDXK,pyridoxal kinase
218019_s_at,LOC105372824,uncharacterized LOC105372824
218020_s_at,ZFAND3,zinc finger AN1-type containing 3
218021_at,DHRS4,dehydrogenase/reductase 4
218021_at,DHRS4L2,dehydrogenase/reductase 4 like 2
218021_at,DHRS4L1,dehydrogenase/reductase 4 like 1
218022_at,VRK3,VRK serine/threonine kinase 3
218023_s_at,FAM53C,family with sequence similarity 53 member C
218024_at,MPC1,mitochondrial pyruvate carrier 1
218025_s_at,ECI2,enoyl-CoA delta isomerase 2
218026_at,COA3,cytochrome c oxidase assembly factor 3
218027_at,MRPL15,mitochondrial ribosomal protein L15
218028_at,ELOVL1,ELOVL fatty acid elongase 1
218029_at,RIPOR1,RHO family interacting cell polarization regulator 1
218030_at,GIT1,GIT ArfGAP 1
218031_s_at,FOXN3,forkhead box N3
218032_at,SNN,stannin
218033_s_at,SNN,stannin
218034_at,FIS1,"fission, mitochondrial 1"
218035_s_at,RBM47,RNA binding motif protein 47
218036_x_at,NMD3,NMD3 ribosome export adaptor
218037_at,RETREG2,reticulophagy regulator family member 2
218038_at,DMAC2,distal membrane arm assembly component 2
218039_at,NUSAP1,nucleolar and spindle associated protein 1
218040_at,PRPF38B,pre-mRNA processing factor 38B
218041_x_at,SLC38A2,solute carrier family 38 member 2
218042_at,COPS4,COP9 signalosome subunit 4
218043_s_at,AZI2,5-azacytidine induced 2
218044_x_at,PTMS,parathymosin
218045_x_at,PTMS,parathymosin
218046_s_at,MRPS16,mitochondrial ribosomal protein S16
218047_at,OSBPL9,oxysterol binding protein like 9
218048_at,COMMD3,COMM domain containing 3
218049_s_at,MRPL13,mitochondrial ribosomal protein L13
218050_at,UFM1,ubiquitin fold modifier 1
218051_s_at,NT5DC2,5'-nucleotidase domain containing 2
218052_s_at,ATP13A1,ATPase 13A1
218053_at,PRPF40A,pre-mRNA processing factor 40 homolog A
218054_s_at,KXD1,KxDL motif containing 1
218055_s_at,WDR41,WD repeat domain 41
218056_at,BFAR,bifunctional apoptosis regulator
218057_x_at,EMC8,ER membrane protein complex subunit 8
218058_at,CXXC1,CXXC finger protein 1
218059_at,ZNF706,zinc finger protein 706
218060_s_at,USB1,U6 snRNA biogenesis phosphodiesterase 1
218061_at,MEA1,male-enhanced antigen 1
218062_x_at,CDC42EP4,CDC42 effector protein 4
218063_s_at,CDC42EP4,CDC42 effector protein 4
218064_s_at,AKAP8L,A-kinase anchoring protein 8 like
218065_s_at,TMEM9B,TMEM9 domain family member B
218066_at,SLC12A7,solute carrier family 12 member 7
218067_s_at,ARGLU1,arginine and glutamate rich 1
218068_s_at,ZNF672,zinc finger protein 672
218069_at,DCTPP1,dCTP pyrophosphatase 1
218070_s_at,GMPPA,GDP-mannose pyrophosphorylase A
218071_s_at,MKRN2,makorin ring finger protein 2
218072_at,COMMD9,COMM domain containing 9
218073_s_at,NDC1,NDC1 transmembrane nucleoporin
218074_at,CIAO2B,cytosolic iron-sulfur assembly component 2B
218075_at,AAAS,aladin WD repeat nucleoporin
218076_s_at,ARHGAP17,Rho GTPase activating protein 17
218077_s_at,ZDHHC3,zinc finger DHHC-type palmitoyltransferase 3
218078_s_at,ZDHHC3,zinc finger DHHC-type palmitoyltransferase 3
218079_s_at,GGNBP2,gametogenetin binding protein 2
218080_x_at,FAF1,Fas associated factor 1
218081_at,C20orf27,chromosome 20 open reading frame 27
218082_s_at,UBP1,upstream binding protein 1
218083_at,PTGES2,prostaglandin E synthase 2
218084_x_at,FXYD5,FXYD domain containing ion transport regulator 5
218085_at,CHMP5,charged multivesicular body protein 5
218086_at,NPDC1,"neural proliferation, differentiation and control 1"
218087_s_at,SORBS1,sorbin and SH3 domain containing 1
218088_s_at,RRAGC,Ras related GTP binding C
218089_at,AAR2,AAR2 splicing factor
218090_s_at,WDR11,WD repeat domain 11
218091_at,AGFG1,ArfGAP with FG repeats 1
218092_s_at,AGFG1,ArfGAP with FG repeats 1
218093_s_at,ANKRD10,ankyrin repeat domain 10
218094_s_at,DBNDD2,dysbindin domain containing 2
218094_s_at,SYS1-DBNDD2,SYS1-DBNDD2 readthrough (NMD candidate)
218095_s_at,TMEM165,transmembrane protein 165
218096_at,AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5
218097_s_at,CUEDC2,CUE domain containing 2
218098_at,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2
218099_at,TEX2,testis expressed 2
218100_s_at,IFT57,intraflagellar transport 57
218101_s_at,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2
218102_at,DERA,deoxyribose-phosphate aldolase
218103_at,FTSJ3,FtsJ RNA 2'-O-methyltransferase 3
218104_at,TEX10,testis expressed 10
218105_s_at,MRPL4,mitochondrial ribosomal protein L4
218106_s_at,MRPS10,mitochondrial ribosomal protein S10
218107_at,WDR26,WD repeat domain 26
218108_at,UBR7,ubiquitin protein ligase E3 component n-recognin 7
218109_s_at,MFSD1,major facilitator superfamily domain containing 1
218110_at,XAB2,XPA binding protein 2
218111_s_at,CMAS,cytidine monophosphate N-acetylneuraminic acid synthetase
218112_at,MRPS34,mitochondrial ribosomal protein S34
218113_at,CEMIP2,cell migration inducing hyaluronidase 2
218114_at,GGA1,"golgi associated, gamma adaptin ear containing, ARF binding protein 1"
218115_at,ASF1B,anti-silencing function 1B histone chaperone
218116_at,C9orf78,chromosome 9 open reading frame 78
218117_at,RBX1,ring-box 1
218118_s_at,TIMM23,translocase of inner mitochondrial membrane 23
218119_at,TIMM23,translocase of inner mitochondrial membrane 23
218120_s_at,HMOX2,heme oxygenase 2
218121_at,HMOX2,heme oxygenase 2
218122_s_at,SENP2,SUMO specific peptidase 2
218123_at,CFAP298,cilia and flagella associated protein 298
218124_at,RETSAT,retinol saturase
218125_s_at,CCDC25,coiled-coil domain containing 25
218126_at,RMDN3,regulator of microtubule dynamics 3
218127_at,NFYB,nuclear transcription factor Y subunit beta
218128_at,NFYB,nuclear transcription factor Y subunit beta
218129_s_at,NFYB,nuclear transcription factor Y subunit beta
218130_at,CYBC1,cytochrome b-245 chaperone 1
218131_s_at,GATAD2A,GATA zinc finger domain containing 2A
218132_s_at,TSEN34,tRNA splicing endonuclease subunit 34
218133_s_at,NIF3L1,NGG1 interacting factor 3 like 1
218134_s_at,RBM22,RNA binding motif protein 22
218135_at,ERGIC2,ERGIC and golgi 2
218136_s_at,SLC25A37,solute carrier family 25 member 37
218137_s_at,SMAP1,small ArfGAP 1
218138_at,MKKS,MKKS centrosomal shuttling protein
218139_s_at,AP5M1,adaptor related protein complex 5 subunit mu 1
218140_x_at,SRPRB,SRP receptor subunit beta
218141_at,UBE2O,ubiquitin conjugating enzyme E2 O
218142_s_at,CRBN,cereblon
218143_s_at,SCAMP2,secretory carrier membrane protein 2
218144_s_at,INF2,inverted formin 2
218145_at,TRIB3,tribbles pseudokinase 3
218146_at,GLT8D1,glycosyltransferase 8 domain containing 1
218147_s_at,GLT8D1,glycosyltransferase 8 domain containing 1
218148_at,CENPT,centromere protein T
218149_s_at,ZNF395,zinc finger protein 395
218150_at,ARL5A,ADP ribosylation factor like GTPase 5A
218151_x_at,SLC52A2,solute carrier family 52 member 2
218152_at,HMG20A,high mobility group 20A
218153_at,CARS2,"cysteinyl-tRNA synthetase 2, mitochondrial"
218154_at,GSDMD,gasdermin D
218155_x_at,TSR1,TSR1 ribosome maturation factor
218156_s_at,TSR1,TSR1 ribosome maturation factor
218157_x_at,CDC42SE1,CDC42 small effector 1
218158_s_at,APPL1,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
218159_at,DDRGK1,DDRGK domain containing 1
218160_at,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8
218161_s_at,CLN6,CLN6 transmembrane ER protein
218162_at,OLFML3,olfactomedin like 3
218163_at,MCTS1,MCTS1 re-initiation and release factor
218164_at,SPATA20,spermatogenesis associated 20
218165_at,MEAF6,MYST/Esa1 associated factor 6
218166_s_at,RSF1,remodeling and spacing factor 1
218167_at,AMZ2,archaelysin family metallopeptidase 2
218168_s_at,COQ8A,coenzyme Q8A
218169_at,VAC14,VAC14 component of PIKFYVE complex
218170_at,ISOC1,isochorismatase domain containing 1
218171_at,VPS4B,vacuolar protein sorting 4 homolog B
218172_s_at,DERL1,derlin 1
218173_s_at,NSD3,nuclear receptor binding SET domain protein 3
218174_s_at,TMEM254,transmembrane protein 254
218175_at,CCDC92,coiled-coil domain containing 92
218176_at,MAGEF1,MAGE family member F1
218177_at,CHMP1B,charged multivesicular body protein 1B
218178_s_at,CHMP1B,charged multivesicular body protein 1B
218179_s_at,TRAPPC11,trafficking protein particle complex subunit 11
218180_s_at,EPS8L2,EPS8 like 2
218181_s_at,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4
218182_s_at,CLDN1,claudin 1
218183_at,CDIP1,cell death inducing p53 target 1
218184_at,TULP4,TUB like protein 4
218185_s_at,ARMC1,armadillo repeat containing 1
218186_at,RAB25,"RAB25, member RAS oncogene family"
218187_s_at,C8orf33,chromosome 8 open reading frame 33
218188_s_at,TIMM13,translocase of inner mitochondrial membrane 13
218189_s_at,NANS,N-acetylneuraminate synthase
218190_s_at,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X"
218191_s_at,LMBRD1,LMBR1 domain containing 1
218192_at,IP6K2,inositol hexakisphosphate kinase 2
218193_s_at,GOLT1B,golgi transport 1B
218194_at,REXO2,RNA exonuclease 2
218195_at,ARMT1,acidic residue methyltransferase 1
218196_at,OSTM1,osteoclastogenesis associated transmembrane protein 1
218197_s_at,OXR1,oxidation resistance 1
218198_at,DHX32,DEAH-box helicase 32 (putative)
218199_s_at,NOL6,nucleolar protein 6
218200_s_at,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2
218201_at,NDUFB2,NADH:ubiquinone oxidoreductase subunit B2
218202_x_at,MRPL44,mitochondrial ribosomal protein L44
218203_at,ALG5,ALG5 dolichyl-phosphate beta-glucosyltransferase
218204_s_at,FYCO1,FYVE and coiled-coil domain autophagy adaptor 1
218205_s_at,MKNK2,MAPK interacting serine/threonine kinase 2
218206_x_at,SCAND1,SCAN domain containing 1
218207_s_at,STMN3,stathmin 3
218208_at,SLC66A2,solute carrier family 66 member 2
218209_s_at,RPRD1A,regulation of nuclear pre-mRNA domain containing 1A
218210_at,FN3KRP,fructosamine 3 kinase related protein
218211_s_at,MLPH,melanophilin
218212_s_at,MOCS2,molybdenum cofactor synthesis 2
218213_s_at,TMEM258,transmembrane protein 258
218214_at,ATG101,autophagy related 101
218215_s_at,NR1H2,nuclear receptor subfamily 1 group H member 2
218216_x_at,ARL6IP4,ADP ribosylation factor like GTPase 6 interacting protein 4
218217_at,SCPEP1,serine carboxypeptidase 1
218218_at,APPL2,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
218219_s_at,LANCL2,LanC like 2
218220_at,MYG1,MYG1 exonuclease
218221_at,ARNT,aryl hydrocarbon receptor nuclear translocator
218222_x_at,ARNT,aryl hydrocarbon receptor nuclear translocator
218223_s_at,PLEKHO1,pleckstrin homology domain containing O1
218224_at,PNMA1,PNMA family member 1
218225_at,ECSIT,ECSIT signaling integrator
218226_s_at,NDUFB4,NADH:ubiquinone oxidoreductase subunit B4
218227_at,NUBP2,nucleotide binding protein 2
218228_s_at,TNKS2,tankyrase 2
218229_s_at,POGK,pogo transposable element derived with KRAB domain
218230_at,ARFIP1,ADP ribosylation factor interacting protein 1
218231_at,NAGK,N-acetylglucosamine kinase
218232_at,C1QA,complement C1q A chain
218233_s_at,PRICKLE4,prickle planar cell polarity protein 4
218233_s_at,TOMM6,translocase of outer mitochondrial membrane 6
218234_at,ING4,inhibitor of growth family member 4
218235_s_at,UTP11,UTP11 small subunit processome component
218236_s_at,PRKD3,protein kinase D3
218237_s_at,SLC38A1,solute carrier family 38 member 1
218238_at,GTPBP4,GTP binding protein 4
218239_s_at,GTPBP4,GTP binding protein 4
218240_at,NKIRAS2,NFKB inhibitor interacting Ras like 2
218241_at,GOLGA5,golgin A5
218242_s_at,KMT5B,lysine methyltransferase 5B
218243_at,RUFY1,RUN and FYVE domain containing 1
218244_at,NOL8,nucleolar protein 8
218245_at,TSKU,"tsukushi, small leucine rich proteoglycan"
218246_at,MUL1,mitochondrial E3 ubiquitin protein ligase 1
218247_s_at,MEX3C,mex-3 RNA binding family member C
218248_at,FAM111A,FAM111 trypsin like peptidase A
218249_at,ZDHHC6,zinc finger DHHC-type palmitoyltransferase 6
218250_s_at,CNOT7,CCR4-NOT transcription complex subunit 7
218251_at,MID1IP1,MID1 interacting protein 1
218252_at,CKAP2,cytoskeleton associated protein 2
218253_s_at,EIF2D,eukaryotic translation initiation factor 2D
218254_s_at,SAR1B,secretion associated Ras related GTPase 1B
218255_s_at,FBRS,fibrosin
218256_s_at,NUP54,nucleoporin 54
218257_s_at,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1
218258_at,POLR1D,RNA polymerase I and III subunit D
218259_at,MRTFB,myocardin related transcription factor B
218260_at,DDA1,DET1 and DDB1 associated 1
218261_at,AP1M2,adaptor related protein complex 1 subunit mu 2
218262_at,RMND5B,required for meiotic nuclear division 5 homolog B
218263_s_at,ZBED5,zinc finger BED-type containing 5
218264_at,BCCIP,BRCA2 and CDKN1A interacting protein
218265_at,SECISBP2,SECIS binding protein 2
218266_s_at,NCS1,neuronal calcium sensor 1
218267_at,CINP,cyclin dependent kinase 2 interacting protein
218268_at,TBC1D15,TBC1 domain family member 15
218269_at,DROSHA,drosha ribonuclease III
218270_at,MRPL24,mitochondrial ribosomal protein L24
218271_s_at,PARL,presenilin associated rhomboid like
218272_at,TTC38,tetratricopeptide repeat domain 38
218273_s_at,PDP1,pyruvate dehydrogenase phosphatase catalytic subunit 1
218274_s_at,ANKZF1,ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1
218275_at,SLC25A10,solute carrier family 25 member 10
218276_s_at,SAV1,salvador family WW domain containing protein 1
218277_s_at,DHX40,DEAH-box helicase 40
218278_at,WDR74,WD repeat domain 74
218279_s_at,H2AC18,H2A clustered histone 18
218280_x_at,H2AC18,H2A clustered histone 18
218280_x_at,H2AC19,H2A clustered histone 19
218281_at,MRPL48,mitochondrial ribosomal protein L48
218282_at,EDEM2,ER degradation enhancing alpha-mannosidase like protein 2
218283_at,SS18L2,SS18 like 2
218284_at,SMAD3,SMAD family member 3
218285_s_at,BDH2,3-hydroxybutyrate dehydrogenase 2
218286_s_at,RNF7,ring finger protein 7
218287_s_at,AGO1,argonaute RISC component 1
218287_s_at,AGO3,argonaute RISC catalytic component 3
218288_s_at,CCDC90B,coiled-coil domain containing 90B
218289_s_at,UBA5,ubiquitin like modifier activating enzyme 5
218290_at,PLEKHJ1,pleckstrin homology domain containing J1
218291_at,LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"
218292_s_at,PRKAG2,protein kinase AMP-activated non-catalytic subunit gamma 2
218293_x_at,NUP50,nucleoporin 50
218294_s_at,NUP50,nucleoporin 50
218295_s_at,NUP50,nucleoporin 50
218296_x_at,MSTO1,misato mitochondrial distribution and morphology regulator 1
218296_x_at,MSTO2P,"misato family member 2, pseudogene"
218297_at,MINDY3,MINDY lysine 48 deubiquitinase 3
218298_s_at,DGLUCY,D-glutamate cyclase
218299_at,C11orf24,chromosome 11 open reading frame 24
218300_at,PAGR1,PAXIP1 associated glutamate rich protein 1
218301_at,RNPEPL1,arginyl aminopeptidase like 1
218302_at,PSENEN,"presenilin enhancer, gamma-secretase subunit"
218303_x_at,KRCC1,lysine rich coiled-coil 1
218304_s_at,OSBPL11,oxysterol binding protein like 11
218305_at,IPO4,importin 4
218306_s_at,HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
218307_at,RSAD1,radical S-adenosyl methionine domain containing 1
218308_at,TACC3,transforming acidic coiled-coil containing protein 3
218309_at,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1
218310_at,RABGEF1,RAB guanine nucleotide exchange factor 1
218311_at,MAP4K3,mitogen-activated protein kinase kinase kinase kinase 3
218312_s_at,ZSCAN18,zinc finger and SCAN domain containing 18
218313_s_at,GALNT7,polypeptide N-acetylgalactosaminyltransferase 7
218314_s_at,NKAPD1,NKAP domain containing 1
218315_s_at,CDK5RAP1,CDK5 regulatory subunit associated protein 1
218316_at,TIMM9,translocase of inner mitochondrial membrane 9
218317_x_at,SLX1B,"SLX1 homolog B, structure-specific endonuclease subunit"
218317_x_at,SLX1A,"SLX1 homolog A, structure-specific endonuclease subunit"
218318_s_at,NLK,nemo like kinase
218319_at,PELI1,pellino E3 ubiquitin protein ligase 1
218320_s_at,NDUFB11,NADH:ubiquinone oxidoreductase subunit B11
218321_x_at,STYXL1,serine/threonine/tyrosine interacting like 1
218322_s_at,ACSL5,acyl-CoA synthetase long chain family member 5
218323_at,RHOT1,ras homolog family member T1
218324_s_at,SPATS2,spermatogenesis associated serine rich 2
218325_s_at,DIDO1,death inducer-obliterator 1
218326_s_at,LGR4,leucine rich repeat containing G protein-coupled receptor 4
218327_s_at,SNAP29,synaptosome associated protein 29
218328_at,COQ4,coenzyme Q4
218329_at,PRDM4,PR/SET domain 4
218330_s_at,NAV2,neuron navigator 2
218331_s_at,TASOR2,transcription activation suppressor family member 2
218332_at,BEX1,brain expressed X-linked 1
218333_at,DERL2,derlin 2
218334_at,THOC7,THO complex 7
218335_x_at,TNIP2,TNFAIP3 interacting protein 2
218336_at,PFDN2,prefoldin subunit 2
218337_at,FHIP2B,FHF complex subunit HOOK interacting protein 2B
218338_at,PHC1,polyhomeotic homolog 1
218339_at,MRPL22,mitochondrial ribosomal protein L22
218340_s_at,UBA6,ubiquitin like modifier activating enzyme 6
218341_at,PPCS,phosphopantothenoylcysteine synthetase
218342_s_at,ERMP1,endoplasmic reticulum metallopeptidase 1
218343_s_at,GTF3C3,general transcription factor IIIC subunit 3
218344_s_at,RCOR3,REST corepressor 3
218345_at,TMEM176A,transmembrane protein 176A
218346_s_at,SESN1,sestrin 1
218347_at,TYW1,tRNA-yW synthesizing protein 1 homolog
218348_s_at,ZC3H7A,zinc finger CCCH-type containing 7A
218349_s_at,ZWILCH,zwilch kinetochore protein
218350_s_at,GMNN,geminin DNA replication inhibitor
218351_at,COMMD8,COMM domain containing 8
218352_at,RCBTB1,RCC1 and BTB domain containing protein 1
218353_at,RGS5,regulator of G protein signaling 5
218354_at,TRAPPC2L,trafficking protein particle complex subunit 2L
218355_at,KIF4A,kinesin family member 4A
218356_at,MRM2,mitochondrial rRNA methyltransferase 2
218357_s_at,TIMM8B,translocase of inner mitochondrial membrane 8 homolog B
218358_at,CRELD2,cysteine rich with EGF like domains 2
218359_at,NRSN2,neurensin 2
218360_at,RAB22A,"RAB22A, member RAS oncogene family"
